"municipio","Votosenblanco","Votosnulos","PSOE","PP","Cs","ERC","VOX","JUNTS","PNV","PODEMOS_IU","EH_Bildu","BNG","CUP","atur","aturhomesmenors24","aturhomes25_44","aturhomesmes45","aturdonesmenors24","aturdones25_44","aturdonesmajors45","aturagricultura","aturindustria","aturconstruccio","aturserveis","americana","asiatica","europeossinespanyoles","totalpoblacion","españoles","totalunioneuropea","ambosexostotalamericana","totaloceaniayapatridas","totalhombres","totalextranjeros","totalafrica","totalasia","totalmujeres","mujeresespanyolas","hombresespanyoles","menores","edad20_29","edad30_39","edad40_49","edad50_59","edad60_69","edad70_79","mayores80"
1001,5,13,284,114,22,0,54,0,381,249,240,0,0,131,5,28,25,3,40,30,2,20,5,83,31,10,48,2876,2633,47,31,4,1501,243,150,10,1375,1264,1369,586,229,341,650,437,231,154,74
1002,24,52,930,338,27,0,154,0,1994,866,1400,0,0,717,28,118,147,20,192,212,20,103,52,446,161,27,205,10350,9662,187,161,23,5100,688,272,27,5250,4897,4765,1592,850,1370,1546,1626,1430,903,633
1003,6,6,26,3,0,0,5,0,256,78,461,0,0,18,NA,0,10,1,2,5,0,8,2,7,6,6,5,1467,1441,5,6,2,764,26,7,6,703,691,750,223,118,136,218,257,197,128,107
1004,5,7,108,84,8,0,33,0,312,147,239,0,0,92,4,12,16,2,33,25,1,16,3,55,27,4,13,1821,1707,11,27,0,906,114,70,4,915,859,848,325,127,232,338,276,215,104,114
1006,1,2,20,21,2,0,18,0,16,28,11,0,0,9,NA,0,4,0,1,4,NA,2,0,7,1,0,4,227,220,4,1,0,119,7,2,0,108,106,114,39,10,27,61,38,21,13,10
1008,6,10,89,69,3,0,15,0,172,55,116,0,0,26,2,2,6,1,5,10,1,5,0,19,5,0,13,980,949,12,5,0,529,31,13,0,451,442,507,121,91,91,144,200,157,64,47
1009,2,6,88,29,2,0,10,0,238,125,332,0,0,78,1,14,20,2,16,25,4,25,1,45,12,0,30,1614,1489,30,12,0,826,125,83,0,788,728,761,219,137,171,253,317,212,111,116
1010,6,17,171,120,7,0,45,0,728,244,358,0,0,100,3,10,17,4,27,39,5,22,3,63,20,0,20,2974,2928,20,20,0,1500,46,6,0,1474,1447,1481,541,201,326,640,476,261,211,183
1011,3,2,28,44,4,0,18,0,54,6,3,0,0,8,2,0,2,1,1,2,6,1,0,1,1,0,44,291,239,44,1,0,163,52,7,0,128,106,133,25,26,32,40,55,42,30,26
1013,2,4,38,33,2,0,1,0,131,71,182,0,0,18,0,3,5,0,3,7,0,3,1,14,10,2,29,883,840,25,10,0,491,43,2,2,392,372,468,114,53,82,158,198,99,75,44
1014,2,5,35,52,3,0,17,0,93,37,25,0,0,14,0,2,2,0,5,5,1,4,NA,7,10,0,9,453,424,8,10,0,243,29,10,0,210,196,228,63,24,50,77,69,48,67,35
1016,4,2,21,26,1,0,5,0,72,27,35,0,0,18,1,4,5,0,6,2,2,4,2,7,5,2,4,494,472,4,5,1,299,22,10,2,195,187,285,45,35,44,92,85,67,61,50
1017,3,5,73,53,5,0,12,0,177,51,153,0,0,49,2,12,11,0,12,12,7,9,5,24,18,1,25,1040,951,25,18,0,546,89,45,1,494,449,502,137,79,121,152,188,141,97,83
1018,1,6,125,92,9,0,32,0,250,142,291,0,0,51,2,9,12,3,11,14,0,14,2,26,11,8,20,1747,1703,18,11,0,944,44,5,8,803,783,920,252,122,150,318,294,297,146,81
1019,0,0,5,11,2,0,0,0,71,8,15,0,0,5,NA,1,1,0,2,1,0,1,NA,4,1,1,3,180,175,3,1,0,94,5,0,1,86,83,92,20,17,11,27,37,23,21,13
1020,1,4,20,23,0,0,1,0,83,22,72,0,0,16,1,5,4,1,2,3,3,4,0,5,1,0,4,376,362,4,1,0,220,14,9,0,156,150,212,42,16,49,47,81,66,27,40
1021,3,2,36,48,6,0,17,0,118,42,48,0,0,21,0,4,3,0,5,9,0,2,0,18,3,1,16,599,571,15,3,0,320,28,8,1,279,271,300,87,49,64,117,127,74,29,19
1022,4,9,147,113,12,0,21,0,111,70,38,0,0,31,3,6,3,2,9,8,14,2,1,11,4,1,41,1005,927,40,4,0,502,78,32,1,503,469,458,157,77,115,152,156,126,98,76
1023,1,3,21,44,0,0,9,0,60,27,27,0,0,10,NA,3,2,1,2,2,3,2,NA,3,6,0,19,333,304,17,6,0,162,29,4,0,171,152,152,40,24,38,50,55,42,33,34
1027,0,2,21,24,1,0,3,0,88,45,84,0,0,11,0,4,2,0,2,3,0,2,1,8,6,1,6,517,504,5,6,0,281,13,0,1,236,226,278,61,38,53,97,107,67,40,23
1028,5,7,128,187,9,0,26,0,159,102,103,0,0,105,5,22,23,8,29,18,32,12,7,45,23,2,43,1452,1302,42,23,4,751,150,78,2,701,628,674,244,129,174,227,227,182,117,79
1030,0,0,19,26,0,0,0,0,33,11,12,0,0,5,NA,1,2,NA,2,NA,NA,NA,2,3,1,0,0,157,154,0,1,0,87,3,2,0,70,69,85,10,11,10,23,23,37,19,23
1031,1,14,114,201,15,0,50,0,219,88,133,0,0,53,4,9,12,1,19,8,4,7,0,34,16,4,57,1494,1340,48,16,0,767,154,77,4,727,652,688,190,133,184,234,270,199,120,102
1032,1,10,70,60,2,0,4,0,118,36,60,0,0,54,1,12,10,0,21,10,15,6,4,21,2,3,25,691,574,25,2,5,367,117,82,3,324,264,310,119,69,82,94,95,82,63,63
1033,0,0,97,75,8,0,17,0,186,40,45,0,0,57,2,10,9,4,20,12,16,7,1,20,4,0,33,865,776,29,4,0,439,89,52,0,426,380,396,132,75,106,133,128,117,58,73
1034,1,0,21,4,0,0,4,0,46,12,18,0,0,9,1,1,3,1,0,3,7,0,NA,1,12,0,6,203,178,6,12,0,100,25,7,0,103,89,89,27,17,19,37,23,33,17,22
1036,51,76,1989,781,93,0,216,0,3189,1689,2033,0,0,1114,44,177,231,38,293,331,40,145,57,709,323,72,97,18102,17214,84,323,33,8868,888,363,72,9234,8736,8478,2290,1462,2122,2841,2803,2363,2019,1473
1037,1,4,31,34,2,0,10,0,148,44,101,0,0,20,1,5,2,1,6,5,0,5,2,12,5,2,16,726,696,15,5,0,403,30,7,2,323,307,389,108,35,90,140,109,88,79,60
1039,2,3,39,17,2,0,2,0,35,32,17,0,0,13,NA,3,5,1,1,3,2,0,3,6,3,0,0,221,208,0,3,0,108,13,10,0,113,105,103,12,31,18,28,49,28,21,28
1041,1,1,9,39,1,0,3,0,30,9,7,0,0,2,0,1,0,NA,1,NA,1,0,0,1,2,0,24,200,173,24,2,0,112,27,1,0,88,81,92,20,31,20,24,41,24,12,18
1042,8,9,46,27,1,0,16,0,288,110,173,0,0,62,1,8,13,1,22,17,4,9,4,42,23,0,14,1188,1127,9,23,7,611,61,17,0,577,549,578,209,86,151,241,193,114,88,60
1043,11,19,411,248,42,0,96,0,215,254,178,0,0,310,21,53,58,21,97,60,64,32,16,132,32,50,54,3386,2993,51,32,0,1708,393,257,50,1678,1466,1527,705,301,414,598,498,289,218,180
1044,2,3,20,21,1,0,1,0,40,17,43,0,0,5,NA,1,2,0,1,1,NA,1,1,3,4,2,1,261,253,1,4,0,152,8,1,2,109,103,150,19,18,33,34,70,32,24,20
1046,2,1,59,64,6,0,25,0,140,63,72,0,0,25,1,2,5,1,10,6,2,2,1,17,7,0,10,785,760,10,7,1,453,25,7,0,332,326,434,111,51,64,158,168,92,52,56
1047,6,11,135,136,26,0,60,0,135,102,35,0,0,56,3,14,6,3,21,9,2,7,5,28,9,8,57,1350,1213,55,9,1,724,137,62,8,626,564,649,239,114,148,281,212,136,63,73
1049,1,0,9,6,1,0,3,0,46,3,24,0,0,6,1,0,5,NA,0,NA,NA,3,1,2,1,0,0,156,143,0,1,0,95,13,12,0,61,56,87,15,16,12,28,32,20,17,15
1051,3,15,339,114,18,0,39,0,658,318,742,0,0,345,13,57,65,16,99,95,11,62,17,204,45,125,79,5062,4467,64,45,41,2526,595,305,125,2536,2255,2212,956,428,729,854,727,566,312,269
1052,2,3,38,11,0,0,1,0,63,21,49,0,0,5,0,3,1,0,1,0,1,2,1,1,0,0,16,316,299,16,0,0,158,17,1,0,158,150,149,27,29,33,28,64,35,27,57
1053,1,2,31,20,3,0,4,0,124,47,127,0,0,22,0,5,7,1,4,5,0,6,2,14,3,1,9,715,699,8,3,0,393,16,3,1,322,313,386,95,52,55,108,150,108,57,67
1054,4,1,68,27,5,0,21,0,187,107,276,0,0,58,1,11,13,2,20,11,3,7,4,32,8,0,44,1371,1266,43,8,4,716,105,49,0,655,606,660,242,123,185,253,234,144,58,65
1055,11,5,74,74,6,0,23,0,204,57,101,0,0,49,3,9,15,2,6,14,3,15,1,29,16,0,40,996,929,32,16,0,553,67,11,0,443,417,512,86,70,87,130,210,159,115,108
1056,0,0,2,11,0,0,1,0,61,10,22,0,0,3,1,0,1,NA,0,1,1,0,2,0,1,0,2,221,217,2,1,0,124,4,1,0,97,95,122,11,16,7,21,56,33,30,46
1057,0,2,13,19,1,0,4,0,81,16,59,0,0,6,1,0,2,0,2,1,2,3,0,1,3,0,22,296,271,16,3,0,149,25,0,0,147,133,138,28,25,39,32,53,43,37,30
1058,1,9,119,42,6,0,20,0,249,144,297,0,0,87,1,14,19,1,27,25,4,11,6,54,48,0,35,1885,1716,33,48,3,995,169,83,0,890,807,909,308,140,259,391,298,207,155,65
1059,688,939,30503,21259,2071,0,5096,0,27056,21740,17823,0,0,14479,530,2521,3015,487,3917,4009,422,1600,854,9699,7370,2506,4874,251774,226761,3448,7370,222,122711,25013,10041,2506,129063,116860,109901,37213,22742,33682,42154,36345,29800,22620,15789
1060,0,8,19,47,5,0,8,0,41,15,14,0,0,14,2,5,2,1,2,2,5,2,1,4,0,0,19,268,234,19,0,0,140,34,15,0,128,116,118,34,21,33,33,33,48,20,27
1061,1,0,3,1,1,0,1,0,30,17,61,0,0,4,NA,1,1,NA,1,1,NA,0,0,3,1,0,1,183,181,1,1,0,103,2,0,0,80,80,101,24,12,14,37,43,20,9,11
1062,2,2,39,41,8,0,18,0,41,47,20,0,0,23,1,4,2,1,6,9,3,3,0,16,2,0,15,410,373,15,2,0,223,37,20,0,187,169,204,54,29,61,53,80,56,28,35
1063,6,13,148,124,13,0,52,0,431,167,346,0,0,61,5,7,21,2,11,15,0,7,3,44,15,1,54,2302,2223,49,15,0,1190,79,9,1,1112,1070,1153,315,223,173,356,496,275,173,134
1901,9,21,368,223,33,0,86,0,354,305,200,0,0,147,2,35,16,7,41,46,4,16,7,96,44,2,84,3411,3150,82,44,11,1769,261,120,2,1642,1521,1629,640,275,483,729,543,298,153,116
1902,8,7,85,108,11,0,22,0,117,73,48,0,0,33,0,2,13,0,7,11,1,4,3,24,9,0,29,875,823,29,9,0,494,52,14,0,381,358,465,87,65,91,131,179,126,73,94
2001,1,8,177,189,13,0,91,0,0,34,0,0,0,38,NA,3,12,2,7,14,10,5,NA,20,1,1,47,790,738,41,1,0,379,52,3,1,411,388,350,48,83,87,115,138,119,115,65
2002,2,3,142,104,12,0,67,0,0,9,0,0,0,42,2,6,5,NA,10,19,2,5,11,23,0,0,43,519,471,43,0,0,291,48,5,0,228,208,263,44,46,60,61,69,63,85,72
2003,913,853,27074,26588,8711,0,20478,0,0,10219,0,0,0,14167,670,2111,2464,698,3710,4514,632,1177,786,10138,2721,468,2556,173329,164610,2263,2721,12,84687,8719,2962,468,88642,84813,79797,27063,19370,23855,29023,26540,17539,11624,9000
2004,3,4,199,119,23,0,92,0,0,17,0,0,0,59,1,5,11,5,7,30,11,5,1,38,6,0,0,692,676,0,6,0,356,16,10,0,336,328,348,59,86,56,75,121,94,68,103
2005,8,7,129,142,23,0,94,0,0,23,0,0,0,76,3,10,22,3,13,25,18,9,5,41,15,0,40,658,596,40,15,2,337,62,5,0,321,283,313,63,71,73,79,118,75,63,93
2006,1,1,179,160,20,0,49,0,0,15,0,0,0,70,1,8,15,1,21,24,4,4,3,59,2,0,1,654,646,0,2,0,363,8,5,0,291,288,358,64,60,60,96,93,83,88,72
2007,5,11,423,160,18,0,52,0,0,79,0,0,0,93,3,14,23,4,19,30,7,4,5,73,9,0,47,1170,1107,46,9,0,618,63,7,0,552,523,584,87,125,137,124,191,167,141,161
2008,8,15,273,171,31,0,178,0,0,55,0,0,0,134,5,20,33,7,30,39,14,4,6,106,16,0,18,1351,1312,16,16,0,703,39,5,0,648,629,683,167,128,159,194,237,162,124,121
2009,134,214,5184,3579,997,0,2137,0,0,1464,0,0,0,2210,113,229,366,90,495,917,65,512,115,1293,414,143,311,24419,23321,268,414,1,12167,1098,229,143,12252,11713,11608,3402,2628,3071,3946,3981,2754,1839,1549
2010,12,25,547,391,72,0,232,0,0,82,0,0,0,207,5,20,33,9,58,82,29,57,14,97,32,4,78,2265,2115,77,32,0,1174,150,36,4,1091,1017,1098,295,241,282,314,346,223,239,205
2011,1,2,167,178,13,0,55,0,0,13,0,0,0,36,0,5,12,0,8,11,3,1,8,24,3,0,11,616,602,11,3,0,327,14,0,0,289,282,320,20,49,49,72,95,91,121,108
2012,9,42,631,379,79,0,225,0,0,90,0,0,0,168,7,14,28,15,47,57,24,20,10,107,7,4,132,2334,2175,131,7,0,1189,159,16,4,1145,1072,1103,311,321,337,346,350,175,195,159
2013,0,2,21,26,4,0,27,0,0,10,0,0,0,12,NA,1,3,1,2,5,2,NA,1,6,0,0,7,158,142,7,0,0,91,16,9,0,67,60,82,8,7,14,15,22,26,29,32
2014,3,2,110,73,4,0,25,0,0,37,0,0,0,24,1,1,3,1,5,13,2,1,1,20,3,0,6,405,396,3,3,0,207,9,0,0,198,193,203,41,33,46,60,60,65,47,42
2015,8,15,408,331,74,0,256,0,0,68,0,0,0,249,5,13,39,11,74,107,22,27,8,176,15,0,92,1833,1700,92,15,0,939,133,26,0,894,826,874,253,222,214,312,294,167,134,132
2016,4,1,115,101,18,0,97,0,0,14,0,0,0,82,4,8,18,2,17,33,12,0,3,65,10,0,2,603,591,1,10,0,326,12,0,0,277,272,319,48,81,58,69,123,81,63,59
2017,1,5,239,134,14,0,85,0,0,19,0,0,0,97,2,7,39,1,20,28,8,8,26,54,1,0,1,842,828,1,1,0,443,14,12,0,399,391,437,60,56,68,93,112,120,158,159
2018,3,5,215,234,33,0,95,0,0,23,0,0,0,71,2,5,12,4,13,35,8,7,7,39,7,0,26,1049,886,25,7,0,540,163,130,0,509,439,447,118,118,128,130,183,131,88,107
2019,9,40,765,398,100,0,343,0,0,139,0,0,0,248,3,19,40,9,48,129,23,16,76,127,11,0,33,2779,2699,30,11,0,1415,80,36,0,1364,1319,1380,273,336,266,429,498,268,278,265
2020,4,4,147,101,10,0,51,0,0,17,0,0,0,44,2,7,6,1,11,17,6,1,1,34,3,0,17,501,476,16,3,0,271,25,5,0,230,221,255,39,34,37,61,72,64,95,73
2021,6,8,309,227,31,0,164,0,0,56,0,0,0,118,6,13,19,7,29,44,3,13,9,81,7,0,26,1307,1149,26,7,0,686,158,125,0,621,550,599,160,166,162,192,197,133,116,118
2022,2,0,69,104,10,0,50,0,0,7,0,0,0,23,1,4,7,0,5,6,2,1,3,17,4,0,2,363,357,2,4,0,205,6,0,0,158,154,203,7,29,28,33,74,69,61,49
2023,0,7,165,152,18,0,56,0,0,18,0,0,0,48,NA,5,8,1,12,22,3,2,1,41,6,0,17,572,547,17,6,0,301,25,2,0,271,262,285,23,51,54,63,102,83,82,89
2024,24,33,889,549,161,0,474,0,0,279,0,0,0,364,14,38,73,13,83,143,61,50,12,211,53,28,269,4538,3989,249,53,0,2294,549,199,28,2244,1999,1990,631,519,579,675,710,514,344,338
2025,51,110,1417,1475,400,0,1317,0,0,482,0,0,0,987,54,114,164,45,274,336,74,139,56,629,198,27,345,9963,8990,330,198,0,5073,973,403,27,4890,4430,4560,1546,1139,1207,1567,1528,1046,759,637
2026,4,11,323,143,33,0,68,0,0,60,0,0,0,84,0,8,15,4,21,36,22,2,2,58,27,0,155,1181,985,152,27,0,597,196,14,0,584,473,512,169,153,144,159,178,101,100,109
2027,1,6,74,75,13,0,31,0,0,6,0,0,0,21,2,0,4,NA,4,11,3,NA,0,16,3,0,4,324,317,4,3,0,174,7,0,0,150,147,170,27,29,32,42,55,42,43,40
2028,0,0,44,22,0,0,12,0,0,2,0,0,0,15,NA,1,8,NA,1,5,2,0,2,10,1,0,2,123,120,2,1,0,64,3,0,0,59,56,64,3,10,7,13,36,17,12,22
2029,13,43,776,534,220,0,457,0,0,278,0,0,0,324,16,35,59,14,88,112,11,41,16,226,47,5,107,4206,4005,106,47,1,2196,201,41,5,2010,1914,2091,630,434,636,796,636,378,247,273
2030,16,36,956,440,110,0,422,0,0,155,0,0,0,451,14,50,89,22,100,176,33,32,18,349,24,8,19,3585,3521,18,24,0,1787,64,13,8,1798,1761,1760,471,430,401,509,573,423,291,326
2031,4,5,203,98,21,0,52,0,0,19,0,0,0,94,1,7,20,1,21,44,9,3,29,52,6,0,3,643,623,2,6,0,317,20,11,0,326,314,309,65,58,60,80,98,85,75,87
2032,2,5,83,33,4,0,23,0,0,32,0,0,0,32,1,5,12,1,3,10,2,2,3,23,4,0,10,297,282,10,4,0,168,15,1,0,129,121,161,22,24,28,38,53,44,43,42
2033,12,37,444,421,56,0,219,0,0,146,0,0,0,270,9,24,49,13,64,111,38,22,11,170,29,1,82,2489,2205,82,29,0,1307,284,172,1,1182,1065,1140,343,305,259,404,372,243,226,198
2034,6,6,452,238,46,0,167,0,0,101,0,0,0,157,7,14,30,10,38,58,27,15,2,110,41,0,200,1792,1542,198,41,0,914,250,9,0,878,753,789,234,212,215,271,275,190,154,164
2035,5,21,531,388,76,0,365,0,0,91,0,0,0,216,17,26,41,15,61,56,12,22,14,152,15,0,113,2512,2354,113,15,0,1304,158,30,0,1208,1132,1222,407,265,385,442,346,264,176,131
2036,0,0,24,29,1,0,12,0,0,0,0,0,0,10,NA,1,4,NA,1,4,0,2,1,7,0,0,1,104,102,1,0,0,55,2,1,0,49,48,54,5,7,7,10,20,21,12,19
2037,68,149,4513,3732,996,0,4032,0,0,1082,0,0,0,3378,179,397,525,193,848,1236,532,437,147,2083,822,53,493,30306,27892,475,822,3,15162,2414,1043,53,15144,14070,13822,4444,3712,4059,4910,4562,2890,2117,1755
2038,0,4,66,73,7,0,40,0,0,7,0,0,0,35,1,3,6,1,9,15,5,3,1,24,0,0,27,326,282,27,0,0,167,44,17,0,159,141,141,30,39,32,54,65,34,34,30
2039,8,11,322,251,31,0,65,0,0,55,0,0,0,75,4,6,12,7,13,33,10,6,2,50,13,0,24,1158,1100,24,13,0,602,58,21,0,556,526,574,139,106,123,168,179,130,145,114
2040,1,2,194,163,27,0,62,0,0,26,0,0,0,42,0,5,11,0,6,20,3,7,2,24,11,0,1,647,624,1,11,0,345,23,11,0,302,291,333,52,59,59,110,92,93,95,55
2041,0,2,73,121,2,0,28,0,0,10,0,0,0,36,NA,8,11,NA,4,13,3,5,6,22,2,0,0,355,353,0,2,0,193,2,0,0,162,162,191,27,24,26,61,44,45,56,63
2042,1,4,265,150,27,0,84,0,0,47,0,0,0,129,4,9,38,5,9,64,9,9,6,101,6,0,12,919,899,10,6,0,449,20,2,0,470,463,436,61,93,87,96,181,131,91,124
2043,6,14,362,261,41,0,158,0,0,29,0,0,0,101,2,17,22,4,19,37,14,12,2,63,19,0,29,1358,1290,29,19,0,705,68,20,0,653,623,667,108,156,140,180,257,151,150,165
2044,5,9,266,164,40,0,152,0,0,28,0,0,0,181,16,6,26,9,33,91,29,9,13,119,3,0,3,1175,1164,3,3,0,610,11,5,0,565,557,607,84,119,101,162,192,157,136,171
2045,38,45,921,577,164,0,315,0,0,700,0,0,0,365,14,35,65,14,84,153,65,53,58,170,45,3,224,4652,4320,215,45,0,2380,332,60,3,2272,2098,2222,694,487,599,731,634,510,470,334
2046,12,22,247,311,43,0,182,0,0,62,0,0,0,110,3,12,23,4,27,41,20,17,34,35,9,0,19,1383,1328,19,9,0,706,55,27,0,677,654,674,176,139,181,229,195,151,137,113
2047,0,2,26,45,0,0,9,0,0,1,0,0,0,9,NA,1,2,NA,1,5,NA,NA,NA,9,0,0,0,110,110,0,0,0,59,0,0,0,51,51,59,3,5,7,8,24,20,23,19
2048,9,11,342,298,27,0,179,0,0,41,0,0,0,113,2,12,28,3,24,44,13,9,27,57,10,5,98,1501,1339,98,10,0,774,162,49,5,727,666,673,156,134,180,229,227,190,178,151
2049,1,10,255,113,16,0,74,0,0,31,0,0,0,103,3,14,23,2,20,41,5,4,2,90,6,0,3,852,842,2,6,0,441,10,1,0,411,406,436,53,81,87,91,135,114,119,156
2050,1,0,22,16,2,0,20,0,0,5,0,0,0,2,NA,NA,1,NA,1,NA,0,NA,NA,2,0,0,0,97,97,0,0,0,52,0,0,0,45,45,52,6,5,14,7,23,15,9,16
2051,13,14,276,432,77,0,265,0,0,38,0,0,0,150,6,13,19,9,47,56,11,42,8,71,77,0,31,2051,1919,26,77,0,1043,132,24,0,1008,951,968,226,219,263,303,282,242,187,222
2052,6,1,138,98,10,0,88,0,0,26,0,0,0,51,2,7,13,1,13,15,9,0,5,33,4,0,20,571,529,18,4,0,307,42,18,0,264,241,288,55,57,67,85,90,72,54,64
2053,14,44,780,474,156,0,360,0,0,231,0,0,0,258,6,14,37,15,60,126,47,55,40,107,16,5,22,3435,3372,21,16,0,1763,63,20,5,1672,1640,1732,399,397,350,526,551,348,318,357
2054,0,5,82,128,17,0,33,0,0,21,0,0,0,44,1,3,8,0,8,24,9,2,6,26,3,0,89,517,425,88,3,0,266,92,0,0,251,205,220,53,70,69,65,70,61,59,50
2055,2,4,337,121,21,0,139,0,0,44,0,0,0,126,4,18,34,3,19,48,3,7,8,105,3,0,3,1191,1178,3,3,0,660,13,7,0,531,525,653,97,117,112,177,206,122,140,161
2056,11,25,517,338,46,0,222,0,0,38,0,0,0,143,5,23,28,5,38,44,27,16,9,89,27,0,53,1987,1893,48,27,0,1009,94,14,0,978,939,954,232,233,225,276,281,242,232,188
2057,15,25,639,237,62,0,198,0,0,174,0,0,0,262,7,23,55,6,60,111,20,38,7,197,13,0,41,2307,2248,39,13,0,1154,59,5,0,1153,1117,1131,260,245,247,352,374,264,242,215
2058,1,9,100,48,7,0,7,0,0,14,0,0,0,31,1,4,9,0,8,9,0,11,2,17,6,0,4,348,338,4,6,0,190,10,0,0,158,150,188,22,18,36,53,54,53,39,63
2059,0,8,116,45,5,0,46,0,0,5,0,0,0,20,1,3,1,0,3,12,NA,1,NA,17,0,0,1,334,332,0,0,0,184,2,1,0,150,149,183,12,33,36,42,57,57,41,48
2060,7,14,248,362,70,0,205,0,0,42,0,0,0,119,3,15,27,3,28,43,14,10,4,88,1,0,10,1399,1385,9,1,0,817,14,3,0,582,576,809,85,131,165,209,266,201,180,127
2061,3,6,156,182,15,0,79,0,0,18,0,0,0,46,0,5,14,3,6,18,4,4,3,34,1,0,9,692,663,6,1,1,350,29,18,0,342,331,332,48,68,64,83,113,104,87,102
2062,2,5,113,70,16,0,46,0,0,9,0,0,0,56,2,7,13,2,4,28,9,6,3,37,0,2,8,430,418,8,0,0,241,12,2,2,189,185,233,28,46,28,59,89,62,49,54
2063,3,14,422,207,65,0,234,0,0,34,0,0,0,167,5,19,35,9,38,61,15,10,9,128,18,1,21,1585,1535,19,18,0,826,50,10,1,759,733,802,134,157,185,209,249,197,182,206
2064,2,5,131,91,16,0,29,0,0,12,0,0,0,46,3,6,19,1,8,9,3,4,6,31,4,0,2,409,393,2,4,0,208,16,10,0,201,193,200,13,42,38,48,76,50,65,60
2065,0,7,149,126,9,0,52,0,0,23,0,0,0,38,1,4,3,NA,5,25,3,2,1,32,1,0,0,481,480,0,1,0,255,1,0,0,226,225,255,33,50,38,79,90,65,61,54
2066,1,2,63,52,3,0,21,0,0,23,0,0,0,14,1,2,5,1,1,4,5,NA,NA,9,2,0,6,242,234,6,2,0,133,8,0,0,109,104,130,7,23,18,28,34,34,50,34
2067,2,14,315,203,44,0,149,0,0,65,0,0,0,142,3,17,39,3,25,55,15,3,5,117,5,0,24,1332,1302,23,5,0,687,30,1,0,645,628,674,149,131,152,188,238,185,118,111
2068,3,0,87,42,47,0,38,0,0,21,0,0,0,29,2,0,8,3,7,9,2,1,3,22,4,0,3,367,360,3,4,0,200,7,0,0,167,163,197,32,42,46,54,68,36,38,39
2069,30,80,2436,2568,587,0,1769,0,0,523,0,0,0,1325,64,179,194,74,370,444,174,168,29,804,113,54,1020,15476,13752,996,113,3,7818,1724,534,54,7658,6830,6922,2384,1762,2048,2460,2364,1547,1097,968
2070,6,5,207,36,13,0,20,0,0,16,0,0,0,30,0,4,8,4,6,8,5,0,1,24,0,0,39,480,432,39,0,0,258,48,9,0,222,203,229,49,40,47,57,71,38,75,78
2071,7,5,331,247,21,0,159,0,0,26,0,0,0,116,4,9,35,2,21,45,6,4,8,93,3,0,36,1242,1172,36,3,0,627,70,31,0,615,582,590,111,153,144,184,204,147,108,127
2072,7,23,389,219,51,0,201,0,0,86,0,0,0,225,6,35,47,7,49,81,26,15,12,156,10,0,43,1787,1726,43,10,0,920,61,8,0,867,841,885,174,190,214,240,269,236,185,204
2073,35,39,1176,800,195,0,773,0,0,391,0,0,0,633,18,56,109,20,169,261,121,59,26,381,31,12,238,6235,5811,113,31,0,3197,424,143,12,3038,2859,2952,871,688,750,948,960,590,557,502
2074,39,44,1486,1016,253,0,827,0,0,331,0,0,0,620,27,66,120,30,164,213,81,89,37,383,109,13,64,7684,6897,58,109,0,3931,787,601,13,3753,3432,3465,1076,866,945,1164,1152,737,657,669
2075,6,10,472,468,79,0,231,0,0,82,0,0,0,156,10,21,35,9,34,47,15,20,26,80,8,1,25,2028,1956,23,8,0,1038,72,38,1,990,961,995,230,203,262,310,288,228,223,192
2076,2,3,104,66,9,0,43,0,0,3,0,0,0,30,1,3,7,0,4,15,3,2,1,22,0,0,0,346,346,0,0,0,174,0,0,0,172,172,174,20,40,28,40,68,49,36,50
2077,0,0,19,9,1,0,6,0,0,6,0,0,0,8,1,1,2,NA,3,1,1,NA,1,6,0,0,0,56,56,0,0,0,32,0,0,0,24,24,32,2,3,8,9,12,10,1,9
2078,4,8,244,123,25,0,129,0,0,106,0,0,0,52,2,8,15,1,10,16,8,4,4,34,10,8,35,1094,1030,34,10,0,576,64,11,8,518,488,542,119,125,111,147,186,117,106,131
2079,17,22,681,366,78,0,278,0,0,536,0,0,0,307,7,36,65,13,66,120,71,47,14,168,52,8,549,4027,3316,447,52,0,2034,711,102,8,1993,1622,1694,540,462,513,647,611,375,325,342
2080,0,6,141,93,16,0,78,0,0,22,0,0,0,59,1,6,19,3,9,21,6,6,3,43,3,0,22,583,540,21,3,0,304,43,18,0,279,261,279,44,60,64,79,100,67,61,83
2081,130,235,3869,3675,813,0,2841,0,0,1218,0,0,0,2108,109,262,327,111,637,662,399,197,103,1327,403,41,2028,25184,22407,1306,403,5,12456,2777,300,41,12728,11353,11054,3964,2983,3508,3930,3685,2348,1757,1575
2082,0,0,34,16,7,0,11,0,0,12,0,0,0,8,NA,1,4,NA,1,2,2,NA,0,6,2,0,2,109,105,2,2,0,65,4,0,0,44,42,63,6,8,11,14,26,18,8,15
2083,0,0,88,53,8,0,29,0,0,2,0,0,0,17,NA,2,2,0,4,9,1,2,NA,11,1,0,1,224,221,1,1,0,136,3,1,0,88,87,134,9,22,24,15,37,40,36,35
2084,2,6,71,47,15,0,46,0,0,10,0,0,0,59,1,5,19,1,12,21,5,1,3,48,3,0,6,338,328,6,3,0,173,10,1,0,165,159,169,26,29,33,32,80,45,40,44
2085,2,6,103,84,6,0,27,0,0,3,0,0,0,27,2,2,5,1,6,11,7,1,NA,17,1,0,2,337,329,2,1,0,176,8,5,0,161,156,173,21,36,29,34,66,55,33,55
